iter	Passed	Remaining
0	59	11762
1	59	5884
2	59	3934
3	60	2947
4	60	2358
5	60	1964
6	61	1690
7	61	1480
8	62	1317
9	62	1185
10	62	1077
11	63	987
12	63	911
13	63	845
14	63	788
15	64	737
16	64	693
17	64	654
18	64	618
19	65	587
20	65	557
21	65	531
22	66	508
23	66	486
24	66	466
25	66	447
26	67	431
27	67	415
28	67	400
29	68	386
30	68	373
31	68	361
32	69	349
33	69	338
34	69	328
35	69	318
36	70	309
37	70	300
38	70	292
39	71	284
40	71	276
41	71	269
42	71	262
43	72	256
44	72	249
45	72	243
46	73	238
47	83	264
48	83	258
49	84	252
50	84	246
51	84	241
52	85	236
53	85	230
54	85	225
55	86	221
56	86	216
57	86	212
58	86	207
59	87	203
60	87	199
61	87	195
62	88	191
63	88	188
64	88	184
65	89	181
66	89	177
67	89	174
68	90	171
69	90	168
70	90	165
71	91	162
72	91	159
73	91	156
74	92	153
75	92	151
76	92	148
77	93	145
78	93	143
79	93	140
80	94	138
81	94	136
82	94	133
